,Name,Lvl,HP,AC,Attack_Num,Attack_Descr,Attack_Type,Hit_Bonus,is_Agile
28,ADULT GOLD DRAGON,15,330,38,Attack 1,"Melee jaws +30 (fire, magical, reach 15 feet), Damage 3d12+15 piercing plus 3d6 fire",Melee,30.0,False
29,ADULT GREEN DRAGON,12,215,34,Attack 1,"Melee jaws +26 (magical, poison, reach 15 feet), Damage 3d10+12 piercing plus 3d4 poison",Melee,26.0,False
30,ADULT MAGMA DRAGON,13,270,34,Attack 1,"Melee jaws +27 (fire, magical, reach 15 feet), Damage 3d10+11 piercing plus 3d6 fire",Melee,27.0,False
31,ADULT RED DRAGON,14,305,37,Attack 1,"Melee jaws +29 (fire, magical, reach 15 feet), Damage 3d12+15 piercing plus 2d6 fire",Melee,29.0,False
32,ADULT SEA DRAGON,12,225,33,Attack 1,"Melee jaws +26 (magical, reach 15 feet), Damage 3d10+12 piercing plus hyponatremia",Melee,26.0,False
33,ADULT SILVER DRAGON,14,295,37,Attack 1,"Melee jaws +29 (cold, magical, reach 15 feet), Damage 3d10+13 piercing plus 3d6 cold",Melee,29.0,False
34,ADULT SKY DRAGON,13,235,34,Attack 1,"Melee jaws +27 (magical, reach 15 feet), Damage 3d8+13 piercing plus 1d12 electricity",Melee,27.0,False
35,ADULT SOVEREIGN DRAGON,15,275,37,Attack 1,"Melee jaws +30 (magical, reach 15 feet), Damage 3d10+14 piercing plus 2d6 mental",Melee,30.0,False
36,ADULT UMBRAL DRAGON,15,275,37,Attack 1,"Melee jaws +30 (negative, reach 15 feet), Damage 3d10+14 piercing plus 3d6 negative",Melee,30.0,False
37,ADULT UNDERWORLD DRAGON,11,195,31,Attack 1,"Melee jaws +24 (magical, reach 10 feet), Damage 2d8+13 piercing plus 2d6 fire",Melee,24.0,False
38,ADULT WHITE DRAGON,10,215,29,Attack 1,"Melee jaws +23 (cold, magical, reach 10 feet), Damage 2d10+13 piercing plus 2d6 cold",Melee,23.0,False
39,ADVISOR,5,56,21,Attack 1,"Melee whip +11 (disarm, finesse, nonlethal, reach, trip), Damage 1d4+2 slashing",Melee,11.0,False
40,AFFLICTED IRNAKURSE,8,152,28,Attack 1,"Melee jaws +20 (reach 10 feet), Damage 2d12+11 piercing",Melee,20.0,False
41,AGENT OF THE GRAY QUEEN,19,290,43,Attack 1,"Melee jaws +36 (evil, magical, reach 10 feet), Damage 4d8+9 piercing plus 1d6 evil, essence drain, and Grab",Melee,36.0,False
42,"AGOLTHOLCH, BRINGER OF ROT",19,370,42,Attack 1,"Melee tentacle +37 (chaotic, evil, magical, reach 20 feet), Damage 4d10+16 bludgeoning plus 2d6 chaotic, 2d6 evil, and Improved Grab or Improved Push 20 feet (40 feet on a critical hit)",Melee,37.0,False
43,AGRADAEMON (CONFLAGRATION DAEMON),19,400,45,Attack 1,"Melee claw +35 (agile, evil, finesse, magical, reach 15 feet), Damage 2d12+14 slashing plus 2d6 fire and 2d6 evil",Melee,35.0,True
44,AHKSIVA,3,55,19,Attack 1,"Melee claw +12 (agile, magical), Damage 1d10+4 slashing plus enfeebling humors",Melee,12.0,True
45,AHKSIVA,5,90,22,Attack 1,"Melee claw +15 (agile, magical), Damage 1d10+7 slashing plus enfeebling humors",Melee,15.0,True
46,AHRKINOS,4,70,21,Attack 1,"Melee fangs +13, Damage 2d8+6 piercing",Melee,13.0,False
47,AHRKINOS,6,120,24,Attack 1,"Melee fangs +17, Damage 2d8+8 piercing",Melee,17.0,False
48,AHUIZOTL,6,105,23,Attack 1,"Melee jaws +17, Damage 2d8+8 piercing",Melee,17.0,False
49,AIR MEPHIT,1,12,16,Attack 1,"Melee claw +9 (agile, finesse), Damage 1d6+1 slashing",Melee,9.0,True
50,AIR WISP,0,10,18,Attack 1,"Melee tendril +7 (reach 10 feet), Damage 1d4 bludgeoning",Melee,7.0,False
51,AIUDARA WRAITH,18,300,45,Attack 1,"Melee spectral hand +35 (agile, finesse, magical), Damage 4d10+16 force plus dimensional shunt and drain life",Melee,35.0,True
52,AIVES THE SMOKE DRAGON,4,56,21,Attack 1,"Melee dagger +13 (agile, finesse, versatile S), Damage 1d4+4 piercing plus Smoke Exhalation",Melee,13.0,True
53,AKATA,1,15,16,Attack 1,"Melee jaws +9 (agile), Damage 1d6+4 piercing plus void death",Melee,9.0,True
54,AKHA,4,75,21,Attack 1,"Melee jaws +14, Damage 2d6+7 piercing plus curse of the weretiger and Grab",Melee,14.0,False
55,AKIZENDRI,3,42,19,Attack 1,"Melee jaws +12 (chaotic, finesse, magical), Damage 2d8+3 piercing plus 1d4 chaotic and garbled thoughts",Melee,12.0,False
56,ALAK STAGRAM,2,34,20,Attack 1,"Melee greatsword +10 (versatile P), Damage 1d12+4 slashing",Melee,10.0,False
57,ALCHEMICAL DRUDGE,2,30,18,Attack 1,"Melee fist +10 (finesse), Damage 1d8+2 bludgeoning plus alchemical strike",Melee,10.0,False
58,ALCHEMICAL GOLEM,9,150,27,Attack 1,"Melee syringe +22 (magical, reach 10 feet), Damage 2d10+6 piercing plus alchemical injection",Melee,22.0,False
59,ALCHEMICAL HORROR,21,400,46,Attack 1,"Melee jaws +39 (acid, magical, reach 10 feet), Damage 4d8+18 bludgeoning plus 2d6 acid and Grab",Melee,39.0,False
60,ALCHEMIST ASPIRANT,10,175,30,Attack 1,"Melee rapier +21 (deadly d8, disarm, finesse, magical), Damage 2d6+8 piercing plus wyvern poison",Melee,21.0,False
61,ALGHOLLTHU MASTER (ABOLETH),7,135,23,Attack 1,"Melee tentacle +16 (agile, magical, reach 15 feet), Damage 2d8+10 bludgeoning plus slime",Melee,16.0,True
62,ALLER ROSK,5,75,22,Attack 1,"Melee jaws +15, Damage 2d8+7 piercing plus ghoul fever and paralysis",Melee,15.0,False
63,ALMIRAJ,1,20,16,Attack 1,"Melee horn +9 (finesse, magical), Damage 1d6+2 piercing",Melee,9.0,False
64,ALUUM ENFORCER,10,145,30,Attack 1,"Melee fist +23 (magical), Damage 2d10+13 bludgeoning plus paralyzing force",Melee,23.0,False
65,AMALGAMITE,13,220,33,Attack 1,"Melee limb +24, Damage 3d10+11 bludgeoning",Melee,24.0,False
66,AMATEUR CHEMIST,5,75,22,Attack 1,"Melee light mace +13 (agile, finesse, shove), Damage 1d4 bludgeoning plus 2d8 poison",Melee,13.0,True
67,AMMUT,18,350,41,Attack 1,"Melee claw +32 (agile, reach 10 feet), Damage 3d8+16 slashing plus wasting wound",Melee,32.0,True
68,AMPHISBAENA,4,70,21,Attack 1,"Melee fangs +13, Damage 2d6+5 piercing plus amphisbaena venom",Melee,13.0,False
69,ANADI ELDER,6,95,23,Attack 1,"Melee shortsword +16 (agile, finesse, versatile S), Damage 1d6+5 piercing",Melee,16.0,True
70,ANADI HUNTER,2,27,19,Attack 1,"Melee shortsword +10 (agile, finesse, versatile S), Damage 1d6+2 piercing",Melee,10.0,True
71,ANADI SAGE,4,58,21,Attack 1,"Melee shortsword +12 (agile, finesse, versatile S), Damage 1d6+3 piercing",Melee,12.0,True
72,ANANCUS,8,170,25,Attack 1,"Melee tusk +19 (reach 15 feet), Damage 2d12+11 piercing",Melee,19.0,False
73,ANATOMICAL MODEL,2,32,17,Attack 1,"Melee slam +11, Damage 1d8+4 bludgeoning",Melee,11.0,False
74,ANATOMICAL MODEL,4,58,21,Attack 1,"Melee slam +14, Damage 2d6+5 bludgeoning",Melee,14.0,False
75,ANCIENT BLACK DRAGON,16,325,39,Attack 1,"Melee jaws +33 (acid, magical, reach 15 feet), Damage 3d10+14 piercing plus 2d6 acid and 2d6 persistent acid",Melee,33.0,False
76,ANCIENT BLUE DRAGON,18,370,42,Attack 1,"Melee jaws +35 (electricity, magical, reach 20 feet), Damage 3d10+15 piercing plus 2d12 electricity",Melee,35.0,False
77,ANCIENT BRASS DRAGON,16,325,39,Attack 1,"Melee jaws +32 (fire, magical, reach 15 feet), Damage 3d10+15 piercing plus 3d6 fire and 2d6 persistent fire",Melee,32.0,False
78,ANCIENT BRINE DRAGON,17,330,40,Attack 1,"Melee jaws +34 (acid, magical, reach 20 feet), Damage 3d10+17 piercing plus 5d4 acid",Melee,34.0,False
79,ANCIENT BRONZE DRAGON,18,360,43,Attack 1,"Melee jaws +35 (electricity, magical, reach 20 feet), Damage 3d12+16 piercing plus 2d12 electricity",Melee,35.0,False
80,ANCIENT CLOUD DRAGON,19,355,44,Attack 1,"Melee jaws +36 (electricity, magical, reach 20 feet, sonic), Damage 3d10+17 piercing plus 2d12 electricity, 4d6 sonic, and thundering bite",Melee,36.0,False
81,ANCIENT COPPER DRAGON,17,345,41,Attack 1,"Melee jaws +33 (acid, magical, reach 15 feet), Damage 3d10+16 piercing plus 3d8 acid",Melee,33.0,False
82,ANCIENT CRYSTAL DRAGON,16,275,42,Attack 1,"Melee jaws +33 (magical, reach 20 feet), Damage 3d8+17 slashing plus 4d6 piercing",Melee,33.0,False
83,ANCIENT FOREST DRAGON,19,410,44,Attack 1,"Melee jaws +36 (magical, reach 20 feet), Damage 4d10+17 piercing plus 3d6 poison and lignifying bite",Melee,36.0,False
84,ANCIENT GOLD DRAGON,20,450,46,Attack 1,"Melee jaws +38 (fire, magical, reach 20 feet), Damage 4d12+17 piercing plus 4d6 fire",Melee,38.0,False
85,ANCIENT GREEN DRAGON,17,315,41,Attack 1,"Melee jaws +33 (magical, poison, reach 20 feet), Damage 3d12+15 piercing plus 4d4 poison",Melee,33.0,False
86,ANCIENT MAGMA DRAGON,18,390,42,Attack 1,"Melee jaws +36 (magical, reach 20 feet), Damage 3d12+20 piercing plus 4d6 fire",Melee,36.0,False
87,ANCIENT RED DRAGON,19,425,45,Attack 1,"Melee jaws +37 (fire, magical, reach 20 feet), Damage 4d10+17 piercing plus 3d6 fire",Melee,37.0,False
88,ANCIENT SEA DRAGON,17,350,41,Attack 1,"Melee jaws +34 (magical, reach 20 feet), Damage 3d12+16 piercing plus hyponatremia",Melee,34.0,False
89,ANCIENT SILVER DRAGON,19,410,45,Attack 1,"Melee jaws +37 (cold, magical, reach 20 feet), Damage 4d10+17 piercing plus 4d6 cold",Melee,37.0,False
90,ANCIENT SKY DRAGON,18,335,42,Attack 1,"Melee jaws +36 (magical, reach 20 feet), Damage 3d10+16 piercing plus 1d12 electricity",Melee,36.0,False
91,ANCIENT SOVEREIGN DRAGON,20,410,46,Attack 1,"Melee jaws +38 (magical, reach 20 feet), Damage 4d8+18 piercing plus 3d6 mental",Melee,38.0,False
92,ANCIENT UMBRAL DRAGON,20,375,45,Attack 1,"Melee jaws +38 (negative, magical, reach 20 feet), Damage 4d10+18 piercing plus 4d6 negative and drain vigor",Melee,38.0,False
93,ANCIENT UNDERWORLD DRAGON,16,295,39,Attack 1,"Melee jaws +32 (magical, reach 15 feet), Damage 3d10+16 piercing plus 3d6 fire",Melee,32.0,False
94,ANCIENT WHITE DRAGON,15,330,36,Attack 1,"Melee jaws +31 (cold, magical, reach 15 feet), Damage 3d12+16 piercing plus 3d6 cold",Melee,31.0,False
95,ANDERA PALDREEN,10,175,30,Attack 1,"Melee +1 striking falchion +22 (forceful, sweep), Damage 2d10+7 slashing",Melee,22.0,False
96,ANDROID INFILTRATOR,2,28,18,Attack 1,"Melee shortsword +10 (agile, finesse, versatile S), Damage 1d6+2 piercing",Melee,10.0,True
97,ANGAZHANI,8,180,26,Attack 1,"Melee fist +20 (reach 10 feet), Damage 2d8+9 bludgeoning",Melee,20.0,False
98,ANGAZHANI CULTIST,4,60,21,Attack 1,"Melee spear +14 (fatal d10), Damage 2d6+6 piercing",Melee,14.0,False
99,ANGHEUVORE FLESH-GNAWER,2,30,18,Attack 1,"Melee jaws +10 (finesse), Damage 1d6+5 piercing plus paralysis",Melee,10.0,False
100,ANGRY FOX,-1,8,15,Attack 1,"Melee jaws +8 (finesse), Damage 1d4 piercing",Melee,8.0,False
101,ANIMATE DREAM,8,110,24,Attack 1,"Melee nightmare tendril +20 (agile, finesse), Damage 4d8 negative plus endless nightmare",Melee,20.0,True
102,ANIMATED ARMOR,2,20,17,Attack 1,"Melee glaive +11 (deadly 1d8, forceful, magical, reach 10 feet), Damage 1d8+4 slashing",Melee,11.0,False
103,ANIMATED BROOM,-1,6,16,Attack 1,"Melee bristles +6 (agile, magical, finesse), Damage 1d4 bludgeoning plus dust",Melee,6.0,True
104,ANIMATED COLOSSUS,15,245,39,Attack 1,"Melee fist +32 (magical, reach 30 feet), Damage 3d12+17 bludgeoning plus Improved Grab (page 305)",Melee,32.0,False
105,ANIMATED DRAGONSTORM,18,255,42,Attack 1,"Melee fist +35 (deadly 3d12, magical, reach 15 feet), Damage 5d10+12 bludgeoning plus dragonstorm strike",Melee,35.0,False
106,ANIMATED FURNACE,9,135,30,Attack 1,"Melee door +21 (magical), Damage 2d12+9 bludgeoning plus 1d8 fire and Improved",Melee,21.0,False
107,ANIMATED STATUE,3,35,19,Attack 1,"Melee fist +11 (magical), Damage 1d8+6 bludgeoning plus Grab",Melee,11.0,False
108,ANIMATED TREBUCHET,13,200,36,Attack 1,"Melee arm +28 (magical, reach 15 feet), Damage 3d12+11 bludgeoning plus Grab (page 305)",Melee,28.0,False
109,ANKHRAV,3,40,20,Attack 1,"Melee mandibles +13 (acid), Damage 1d8+4 piercing plus 1d6 acid",Melee,13.0,False
110,ANKOU,14,280,36,Attack 1,"Melee claw +29 (agile, cold iron), Damage 3d6+15 slashing",Melee,29.0,True
111,ANKYLOSAURUS,6,90,26,Attack 1,"Melee tail +17 (backswing, reach 15 feet), Damage 2d8+7 bludgeoning plus punishing tail",Melee,17.0,False
112,ANNIKIA,11,195,31,Attack 1,"Melee dagger +22 (agile, finesse, versatile S), Damage 1d4+9 piercing",Melee,22.0,True
113,ANNIS HAG,6,85,24,Attack 1,"Melee claw +16 (agile, cold iron, magical, reach 10 feet), Damage 2d8+6 slashing plus Grab",Melee,16.0,True
114,ANTARO BOLDBLADE,-1,9,15,Attack 1,"Melee rapier +5 (deadly 1d8, disarm, finesse), Damage 1d6+2 piercing",Melee,5.0,False
115,ANTIPALADIN,5,75,25,Attack 1,"Melee greataxe +15 (sweep), Damage 1d12+10 slashing",Melee,15.0,False
116,AOLAZ,18,255,42,Attack 1,"Melee trunk +35 (magical, reach 20 feet, sweep, trip), Damage 5d10+17 bludgeoning plus Grab",Melee,35.0,False
117,APHALIEL,8,145,26,Attack 1,"Melee flaming scimitar +20 (fire, forceful, good, magical, sweep), Damage 2d6+8 slashing plus 1d6 fire and 1d6 good",Melee,20.0,False
118,APHORITE SHARPSHOOTER,4,60,21,Attack 1,"Melee shortsword +14 (agile, finesse, versatile S), Damage 1d6+8 piercing",Melee,14.0,True
119,APOTHECARY,-1,9,14,Attack 1,"Melee stone pestle +4, Damage 1d6 bludgeoning",Melee,4.0,False
120,APPRENTICE,-1,8,15,Attack 1,"Melee dagger +3 (agile, versatile S), Damage 1d4+1 piercing",Melee,3.0,True
121,ARARDA,18,280,43,Attack 1,"Melee maul +35 (magical, reach 10 feet, shove), Damage 3d12+17 bludgeoning",Melee,35.0,False
122,ARBITER,1,22,16,Attack 1,"Melee shortsword +9 (agile, finesse, lawful, magical, versatile S), Damage 1d6+1 piercing plus 1d4 lawful",Melee,9.0,True
123,ARBOREAL ARCHIVE,12,230,33,Attack 1,"Melee branch +25 (reach 15 feet), Damage 3d10+10 bludgeoning plus Improved Knockdown (page 305)",Melee,25.0,False
124,ARBOREAL REAPER,7,130,25,Attack 1,"Melee branch +18 (reach 10 feet), Damage 2d10+8 bludgeoning",Melee,18.0,False
125,ARBOREAL REGENT,8,150,26,Attack 1,"Melee branch +19 (reach 15 feet), Damage 2d12+7 bludgeoning",Melee,19.0,False
126,ARBOREAL WARDEN,4,75,20,Attack 1,"Melee stone longsword +13 (reach 10 feet), Damage 1d8+10 bludgeoning",Melee,13.0,False
127,ARCANE LIVING RUNE,13,245,34,Attack 1,"Ranged electrical blast +25 (electricity, evocation, range increment 60 feet), Damage 4d12 electricity",Range,25.0,False
128,ARCHER SENTRY,2,30,19,Attack 1,"Melee shortsword +10 (agile, finesse, versatile P), Damage 1d6+3 slashing",Melee,10.0,True
129,ARCHIS PEERS,1,18,16,Attack 1,"Melee kukri +6 (agile, trip), Damage 1d6+3 piercing",Melee,6.0,True
130,ARCHIS PEERS,3,39,18,Attack 1,"Melee kukri +9 (agile, trip), Damage 1d6+3 piercing",Melee,9.0,True
131,ARISSON,4,75,20,Attack 1,"Melee pseudopod +14, Damage 2d8+4 bludgeoning plus adhesive",Melee,14.0,False
132,ARSKUVA THE GNASHER,12,270,31,Attack 1,"Melee war flail +25 (disarm, magical, sweep, trip), Damage 3d10+11 bludgeoning plus 1d6 fire",Melee,25.0,False
133,ARTENNOD RAIKE,5,80,22,Attack 1,"Melee retribution axe +15 (sweep), Damage 1d12+7 slashing",Melee,15.0,False
134,ARTENNOD RAIKE,7,125,25,Attack 1,"Melee retribution axe +18 (sweep), Damage 1d12+10 slashing",Melee,18.0,False
135,ASANBOSAM,6,95,24,Attack 1,"Melee cold iron jaws +17 (deadly 1d8), Damage 2d8+7 piercing",Melee,17.0,False
136,ASH SKELETON,1,12,16,Attack 1,"Melee jaws +9 (reach 10 feet), Damage 1d6+4 piercing",Melee,9.0,False
137,ASH SKELETON,3,30,18,Attack 1,"Melee jaws +12 (reach 10 feet), Damage 2d6+5 piercing",Melee,12.0,False
138,ASHAGITH,3,44,20,Attack 1,"Melee greataxe +11 (sweep), Damage 1d10+6 slashing plus Weakening Strike",Melee,11.0,False
139,ASPIS GUARD,5,80,22,Attack 1,"Melee battle axe +16 (magical, sweep), Damage 2d8+8 slashing plus powerful swing",Melee,16.0,False
140,ASPIS OPERATIVE,14,255,36,Attack 1,"Melee scimitar +30 (forceful, magical, sweep), Damage 2d6+14 slashing plus subduing strikes",Melee,30.0,False
141,ASPIS TECHNICIAN,7,115,25,Attack 1,"Melee rapier +18 (deadly d8, disarm, finesse), Damage 2d6+8 piercing plus hunting spider venom",Melee,18.0,False
142,ASPIS VETERAN GUARD,4,60,21,Attack 1,"Melee falchion +13 (forceful, sweep), Damage 1d10+6 slashing",Melee,13.0,False
143,ASSASSIN,8,130,26,Attack 1,"Melee rapier +18 (deadly 1d8, disarm, finesse, magical), Damage 1d6+8 piercing",Melee,18.0,False
144,ASSASSIN VINE,3,68,18,Attack 1,"Melee vine +12 (reach 10 feet), Damage 1d8+6 bludgeoning plus Grab",Melee,12.0,False
145,ASTRADAEMON (VOID DAEMON),16,240,39,Attack 1,"Melee jaws +32 (evil, magical, reach 10 feet), Damage 3d8+9 piercing plus 1d6 evil, essence drain, and Grab",Melee,32.0,False
146,ASTRAL DEVA (EMISSARY ANGEL),14,285,36,Attack 1,"Melee holy warhammer +30 (good, magical, shove), Damage 2d8+22 bludgeoning plus 1d6 good",Melee,30.0,False
147,ASTRONOMER,2,23,15,Attack 1,"Melee staff +6 (twoehand d8), Damage 1d4 bludgeoning",Melee,6.0,False
148,ATHACH,12,250,33,Attack 1,"Melee fist +25 (reach 10 feet), Damage 3d12+13 bludgeoning",Melee,25.0,False
149,ATTIC WHISPERER,4,60,21,Attack 1,"Melee jaws +15 (agile, finesse), Damage 2d8 piercing plus steal breath",Melee,15.0,True
150,AUGNAGAR,14,225,36,Attack 1,"Melee bite +28 (chaotic, magical, reach 10 feet), Damage 3d12+14 piercing plus 4d6 persistent bleed, 1d6 chaotic, and rotting curse",Melee,28.0,False
151,AUGRAEL,3,48,18,Attack 1,"Melee jaws +12, Damage 1d8+7 piercing plus ghoul fever and paralysis",Melee,12.0,False
152,AUGUR,1,14,17,Attack 1,"Melee blade +8 (agile, finesse, versatile P), Damage 1d-1 slashing plus 1d4 persistent bleed",Melee,8.0,True
153,AULR,10,175,30,Attack 1,"Melee jaws +23 (reach 15 feet), Damage 2d12+13 piercing",Melee,23.0,False
154,AURUMVORAX,9,170,28,Attack 1,"Melee jaws +21, Damage 2d10+12 piercing plus Grab",Melee,21.0,False
155,AVAREK,8,150,26,Attack 1,"Melee dagger +20 (agile, finesse, magical, versatile S), Damage 2d4+4 piercing",Melee,20.0,True
156,AVERY COLLESTIN,11,195,31,Attack 1,"Melee dagger +22 (agile, finesse, versatile S), Damage 1d4+9 piercing",Melee,22.0,True
157,AVSHEROS THE BETRAYER,23,400,50,Attack 1,"Melee unholy greatsword +42 (evil, magical, reach 10 feet, versatile 10 feet), Damage 4d12+21 slashing plus 1d6 evil",Melee,42.0,False
158,AWAKENED BALL PYTHON,1,20,16,Attack 1,"Melee jaws +8, Damage 1d8+3 piercing plus Grab",Melee,8.0,False
159,AWAKENED GIANT CHAMELEON,3,60,18,Attack 1,"Melee jaws +12 (reach 10 feet), Damage 1d10+7 piercing",Melee,12.0,False
160,AWAKENED GIANT FRILLED LIZARD,5,75,22,Attack 1,"Melee jaws +16 (reach 10 feet), Damage 2d8+7 piercing",Melee,16.0,False
161,AWAKENED MEGALANIA,7,125,25,Attack 1,"Melee jaws +18 (reach 10 feet), Damage 2d10+9 piercing plus Grab and megalania venom",Melee,18.0,False
162,AWAKENED TREE,6,100,22,Attack 1,"Melee branch +16 (reach 15 feet), Damage 2d8+6 bludgeoning",Melee,16.0,False
163,AXIOMITE,8,155,26,Attack 1,"Melee warhammer +20 (lawful, magical, shove), Damage 2d8+11 bludgeoning plus 1d6 lawful",Melee,20.0,False
164,AZARKETI EXPLORER,2,30,18,Attack 1,"Melee trident +10, Damage 1d8+6 piercing",Melee,10.0,False
165,AZER,2,45,17,Attack 1,"Melee warhammer +9 (shove), Damage 1d8+3 bludgeoning plus 1d6 fire",Melee,9.0,False
166,AZURE WORM,15,320,35,Attack 1,"Melee jaws +31 (deadly 2d10, reach 15 feet), Damage 3d12+16 piercing plus Improved Grab",Melee,31.0,False
167,AZURETZI,5,75,22,Attack 1,"Melee jaws +15 (chaotic, finesse, magical), Damage 2d10+4 piercing plus 1d6 chaotic",Melee,15.0,False
168,AZVALVIGANDER,3,30,20,Attack 1,"Melee mandibles +12 (evil, finesse, magical), Damage 1d10+3 piercing plus 1d6 evil and Cocytan filth",Melee,12.0,False
169,BAATAMIDAR,21,350,42,Attack 1,"Melee tentacle +36 (chaotic, finesse, magical, reach 15 feet), Damage 4d8+14 bludgeoning plus 2d6 chaotic plus Improved Grab",Melee,36.0,False
170,BABAU,6,130,24,Attack 1,"Melee longspear +17 (evil, magical, reach 10 feet), Damage 1d8+7 piercing plus 1d6 evil",Melee,17.0,False
171,BADGER,0,15,16,Attack 1,"Melee jaws +8, Damage 1d8 piercing",Melee,8.0,False
172,BAK,3,45,17,Attack 1,"Melee trident +10 (fatal d10, thrown 20 feet), Damage 2d8+1 piercing",Melee,10.0,False
173,BALENNI,6,80,21,Attack 1,"Melee claw +14 (agile, evil, finesse, magical), Damage 2d8+6 slashing plus 1d6-4 evil",Melee,14.0,True
174,BALISSE (CONFESSOR ANGEL),8,145,26,Attack 1,"Melee flaming scimitar +20 (fire, forceful, good, magical, sweep), Damage 2d6+8 slashing plus 1d6 fire and 1d6 good",Melee,20.0,False
175,BALKA,3,40,19,Attack 1,"Melee jaws +10, Damage 1d12+5 piercing",Melee,10.0,False
176,BALL PYTHON,1,20,16,Attack 1,"Melee jaws +8, Damage 1d8+3 piercing plus Grab",Melee,8.0,False
